RaceID,AvgLapTime,CarID,FastestLap,Ranking,Points
9 ,68.37,1,,6,8
9 ,68.73,17,,7,6
9 ,69.74,12,,8,4
9 ,70.39,7,,9,2
9 ,73.28,5,,10,1
9 ,73.36,19,,11,0
9 ,74.92,8,,12,0
9 ,83.50,10,,13,0
9 ,85.16,11,,14,0
9 ,85.33,3,,15,0
9 ,88.31,9,,16,0
9 ,91.99,18,,17,0
9 ,92.74,4,,18,0
9 ,93.98,14,,19,0
9 ,98.54,15,,20,0
10 ,60.29,13,,1,26
10 ,62.20,20,,2,18
10 ,67.39,7,1,3,16
10 ,67.97,15,,4,12
10 ,70.51,9,,5,10
10 ,72.00,3,,6,8
10 ,72.87,1,,7,6
10 ,73.39,11,,8,4
10 ,73.80,18,,9,2
10 ,80.81,5,,10,1
10 ,82.77,6,,11,0
10 ,83.18,12,,12,0
10 ,84.12,19,,13,0
10 ,84.49,2,,14,0
10 ,86.61,8,,15,0
10 ,88.66,16,,16,0
10 ,90.44,10,,17,0
10 ,93.13,17,,18,0
10 ,97.03,4,,19,0
10 ,97.22,14,,20,0
11 ,62.33,17,1,1,27
11 ,66.92,14,,2,18
11 ,68.12,9,,3,15
11 ,68.47,12,,4,12
11 ,69.62,6,,5,10
11 ,69.74,8,,6,8
11 ,72.80,1,,7,6
11 ,78.51,5,,8,4
11 ,78.88,11,,9,2
11 ,79.01,13,,10,1
11 ,81.05,19,,11,0
11 ,81.85,2,,12,0
11 ,85.81,4,,13,0
11 ,87.13,16,,14,0
11 ,87.43,3,,15,0
11 ,91.55,20,,16,0
11 ,91.99,18,,17,0
11 ,94.28,15,,18,0
11 ,97.88,10,,19,0
11 ,99.01,7,,20,0
12 ,60.93,2,,1,26
12 ,61.49,4,1,2,19
12 ,62.36,9,,3,15
12 ,62.70,14,,4,12
12 ,65.22,15,,5,10
12 ,66.65,3,,6,8
12 ,68.47,10,,7,6
12 ,69.99,12,,8,4
12 ,72.80,17,,9,2
12 ,75.32,8,,10,1
12 ,80.30,18,,11,0
12 ,80.77,11,,12,0
12 ,81.34,7,,13,0
12 ,83.13,20,,14,0
12 ,84.06,6,,15,0
12 ,88.42,16,,16,0
12 ,89.99,5,,17,0
12 ,90.76,13,,18,0
12 ,90.82,19,,19,0
12 ,96.04,1,,20,0
13 ,60.28,19,,1,26
13 ,61.74,10,,2,18
13 ,62.46,9,,3,15
13 ,63.32,18,,4,12
13 ,65.24,1,,5,10
13 ,65.76,12,1,6,9
13 ,70.05,4,,7,6
13 ,74.25,8,,8,4
13 ,75.84,15,,9,2
13 ,76.47,13,,10,1
13 ,77.34,11,,11,0
13 ,78.39,5,,12,0
13 ,85.41,20,,13,0
13 ,87.05,16,,14,0
13 ,87.61,17,,15,0
13 ,90.74,7,,16,0
13 ,95.95,6,,17,0
13 ,96.76,14,,18,0
13 ,99.43,3,,19,0
13 ,99.44,2,,20,0
14 ,60.47,7,,1,26
14 ,62.04,12,,2,18
14 ,62.06,1,,3,15
14 ,66.33,14,,4,12
14 ,66.47,5,1,5,11
14 ,66.97,16,,6,8
14 ,67.85,8,,7,6
14 ,69.32,11,,8,4
14 ,74.65,6,,9,2
14 ,79.92,2,,10,1
14 ,81.76,20,,11,0
14 ,82.47,9,,12,0
14 ,83.40,19,,13,0
14 ,84.12,18,,14,0
14 ,87.91,17,,15,0
14 ,88.80,4,,16,0
14 ,93.18,13,,17,0
14 ,93.43,15,,18,0
14 ,97.42,3,,19,0
14 ,97.47,10,,20,0
15 ,60.26,8,,1,26
15 ,61.37,11,,2,18
15 ,62.32,20,,3,15
15 ,69.08,6,,4,12
15 ,71.15,17,,5,10
15 ,71.94,16,,6,8
15 ,72.64,13,,7,6
15 ,73.56,10,,8,4
15 ,76.56,18,,9,2
15 ,76.66,2,,10,1
15 ,79.47,15,1,11,0
15 ,79.90,19,,12,0
15 ,83.21,7,,13,0
15 ,85.73,4,,14,0
15 ,86.15,9,,15,0
15 ,87.31,12,,16,0
15 ,95.93,1,,17,0
15 ,97.56,14,,18,0
15 ,98.74,3,,19,0
15 ,99.41,5,,20,0
16 ,64.81,17,,1,26
16 ,72.45,4,,2,18
16 ,74.07,19,,3,15
16 ,74.17,6,,4,12
16 ,76.46,10,,5,10
16 ,76.96,9,,6,8
16 ,78.32,7,,7,6
16 ,81.13,8,,8,4
16 ,81.40,11,1,9,3
16 ,81.54,15,,10,1
16 ,82.72,18,,11,0
16 ,83.69,13,,12,0
16 ,85.76,3,,13,0
16 ,85.82,16,,14,0
16 ,86.84,14,,15,0
16 ,90.53,20,,16,0
16 ,93.68,2,,17,0
16 ,94.26,1,,18,0
16 ,97.29,12,,19,0
16 ,97.81,5,,20,0
17 ,61.90,7,1,1,27
17 ,63.39,6,,2,18
17 ,63.50,9,,3,15
17 ,65.16,19,,4,12
17 ,67.87,4,,5,10
17 ,71.37,14,,6,8
17 ,71.42,16,,7,6
17 ,73.97,5,,8,4
17 ,73.98,8,,9,2
17 ,75.85,20,,10,1
17 ,76.71,12,,11,0
17 ,81.62,18,,12,0
17 ,81.85,13,,13,0
17 ,86.00,2,,14,0
17 ,90.77,10,,15,0
17 ,93.67,17,,16,0
17 ,94.00,1,,17,0
17 ,94.35,15,,18,0
17 ,94.71,3,,19,0
17 ,96.75,11,,20,0
18 ,66.98,19,,1,26
18 ,70.80,9,,2,18
18 ,71.17,8,,3,15
18 ,76.29,2,,4,12
18 ,77.01,7,,5,10
18 ,77.31,15,1,6,9
18 ,77.93,6,,7,6
18 ,78.97,12,,8,4
18 ,79.99,20,,9,2
18 ,82.37,13,,10,1
18 ,83.57,1,,11,0
18 ,84.41,5,,12,0
18 ,88.65,11,,13,0
18 ,89.29,14,,14,0
18 ,89.95,17,,15,0
18 ,91.59,18,,16,0
18 ,93.71,4,,17,0
18 ,95.23,10,,18,0
18 ,98.16,3,,19,0
18 ,98.33,16,,20,0
19 ,62.35,12,,1,26
19 ,63.73,9,1,2,19
19 ,63.91,15,,3,15
19 ,64.14,4,,4,12
19 ,66.17,8,,5,10
19 ,68.02,10,,6,8
19 ,72.59,19,,7,6
19 ,72.83,11,,8,4
19 ,73.09,7,,9,2
19 ,74.48,17,,10,1
19 ,77.06,5,,11,0
19 ,78.26,6,,12,0
19 ,78.41,1,,13,0
19 ,79.54,18,,14,0
19 ,85.51,16,,15,0
19 ,88.38,3,,16,0
19 ,91.56,2,,17,0
19 ,96.53,14,,18,0
19 ,99.42,13,,19,0
19 ,99.94,20,,20,0
20 ,60.17,5,,1,26
20 ,60.36,14,,2,18
20 ,62.59,4,1,3,16
20 ,63.32,11,,4,12
20 ,67.97,9,,5,10
20 ,71.30,8,,6,8
20 ,72.45,7,,7,6
20 ,75.32,20,,8,4
20 ,76.97,3,,9,2
20 ,77.59,12,,10,1
20 ,78.78,19,,11,0
20 ,80.41,10,,12,0
20 ,81.29,15,,13,0
20 ,82.51,13,,14,0
20 ,82.85,2,,15,0
20 ,84.07,18,,16,0
20 ,85.19,16,,17,0
20 ,88.68,6,,18,0
20 ,89.89,1,,19,0
20 ,93.61,17,,20,0

